id,text
10,15991 104 23084 ， 8766 21871 9283 5111 12021 11100 16575 4873 11160 20428 17281 12772 20448 ， 12772 10300 21552 4873 4054 19121 13470 16157 5697 3042 21015 16542 4807 17281 1292 929
11,14131 8679 13046 7390 10300 16045 ， 25483 19121 4274 7915 25130 28018 25257 25572 4397 10449 20669 5697 1602 23349 26526 8299 12520 ， 10059 749 25483 19121 10647 7424 13821 17937 3254 7251 8100 ， 18661 27357 26336 1258 26754 25483 19121 220 4197 10922 3218 22737 17281 19339 28943 18079 10922 10138 25163
12,2281 1943 10274 27653 20060 ， 3848 2910 3240 7800 1730 7661 19121 5540 2281 5602 21649 12772 2910 29956 9601
13,19551 7424 25483 19121 14018 26669 648 29640 23349 26526 12153 12567 ， 648 8224 4274 9925 8147 19121 12235 17281 18834 27200 4198 26059 25585 1562
14,25658 4529 ， 10639 13299 23829 24965 12256 25572 1429 26928 13657 23635 8147 16274 5540
15,2281 10893 3144 803 23832 9601 ， 7661 19121 25203 2484 15439 5697 2066 15439 18496 803 5609 979 141 14547 20431 3848 15469 29455 1823 7442 12482 12482 4759 5320
16,24426 929 14501 27454 8147 22410 22014 19226 927 6788 25 10449 9043 ， 16542 30096 19121 14501 27067 25257 24058 12153 3042 10446 14847 18970 29555 29498 14547 141 8935 23008 30104 17256 15469
17,104 23084 28874 21004 4873 ， 10935 6762 2240 10647 26366 19047 30016 4529 5046 11955 5890 5697 20723 20244 9531 26694 ， 10539 11526 25585 8693 2797 3848 2910 23953 2990 9283 5111 ， 22705 16614 6180 25585 17080 25563 24007 12153 5933 19052 3848 2910 23953 7702
18,3110 6285 8 29498 11160 10723 17935 1396 21618 14521 19910 23452 1292 929 8189 24822 15830 29498 7440 25828 ！ 28705 13535 9601 19121 23904 ！ 18371 8679 233 4198 24053 19934 29038 10449 14051
19,7390 2281 17525 8679 20669 ， 26729 14405 6231 17997 104 16614 6180 10760 7558 11080 24007 ， 2797 9601 10449 25284 13535 14547 16853 14501 29956 28256 ， 9498 9907 3470 21680 15469 ， 25212 10449 25284 13535 1292 11080 24007
20,929 26366 7661 19121 25442 1834 24965 12100 10449 9043 ， 7661 19121 23635 22131 25945 ， 19636 10645 648 8224 979 18785 20791 24965 12100 1082 25442 1834 ， 10647 8194 20097 14547 726 17861 25682 10645 15469
21,28874 24808 16575 2281 7661 19121 27151 26526 14547 23452 14244 15469 17281 17441 3644 24808 11342 24413 25344 25344 13174
22,4004 22382 14232 17062 14051 8100 7360 2166 24058 8773 12052 25606 ， 20850 13535 4004 22382 14232 16868 2166 4018 29192 4054 16328 2103 2103 23722 3218 27700 17281 19339 8258 25504 ， 7481 26437 4004 22382 14232 929 26366 17062 8100 19339 8258 24007 17281 17861 3644
23,3844 11160 23146 16856 26307 8164 28025 22737 7915 12660 6762 9410 22208 13821 13178 2281 24808 11342 8194 10922 2106 10039 ， 24058 20163 8808 12790 25658 4529 10059 749 27322 18581 20097 16328 18371 23904 10596 26725 4274 16648 12248 9043 27063 20097 5602 ， 20850 29547 3240 7800 23980 1222 1258 11497 23904 17281 12706 274
24,9508 11760 10937 29842 10449 274 24583 17256 23904 16328 8679 21534 2103 4198 929 28648 16021 24540 11160 9023 29555 2738 21552 9742 10645 14547 1995 21738 15469 17281 15098 3636 ， 20850 3240 7800 23980 1222 10893 23832 13535 8322 8194 28394 1433 4873 8766 10937 29842 17281 25368 24583 2066 14950
25,7661 19121 27013 12196 9210 14684 17918 7558 ， 26336 10893 10922 19226 4873 7661 19121 3218 4767 2124 16157
26,11259 28332 2199 233 16328 4198 1317 ， 10636 8147 10449 18679 11295 26336 20097 29732 26564 25585 7230 10636 19121 29956 10658 17281 13462 14950
27,27427 25682 ， 11568 29940 25483 8100 5697 29940 27013 12196 8100 1451 24053 28332 13462 19052 15707 ， 22160 27095 8251 21534 274 14547 17935 1396 15439 15469 5379 1065 625 9755 ， 22705 18728 24169 8766 2990 16133 1242 28396 8335 6635
28,7442 4004 22382 14232 8100 8147 25848 10539 11526 30208 27370 233 1845 28525 12248 25504 16456 2281 11100 12567 17281 9672 1396 29731 25131 8327 4018 29192
29,4685 19121 30100 16902 6189 2124 13839 28874 25277 7558 28332 28860 27013 12196 28682 2797 26823 13607 23259 9273 1629 8045 26417 2738 9601 28614 5697 20447 26336 26669 3662 17281 18417 2628
30,12163 28957 13535 9601 5420 5697 19269 19855 10449 11497 10723 24073 ， 23832 27067 16542 21871 2705 15707 10300 14489 14051 17908 23648 26568 24058 13535 29732 2337 21871 25658 ， 7442 23635 28025 2281 17908 23648 23635 22131 10300 ， 19897 8194 14489 14051 24053 23648
31,18496 10893 ， 4004 28648 2224 9023 16614 6180 20447 205 27091 14547 19886 5645 19319 10935 15469 ， 22456 2502 25483 19121 27013 12196 2106 21092 26669 27013 19436 20448 22443 ， 2281 8100 2337 29057 2545 5697 25585 7230 19121 3011 28503 21473 19328 10449 9810 6494 26694 8 10922 17861 20048 929 3328
32,13458 21853 20244 25157 22737 16037 5756 5756 25219 12023 4876 25219 20852 26393 25219 28685 25219 14325 25219 12023 12186 20852 12186 15708 11220 12772 20448 1258 6030 19886 8366 17227 ， 21357 16614 6180 2199 24073 10922 12052 10449 22014 13462 14950 22160 12248 1258 22014 18787 15927
33,20850 2124 19121 26307 18947 10935 6762 2240 7493 26154 1292 929 8766 2545 23926 ， 10539 11526 19269 14547 15647 1408 16045 803 23904 15469 30241 3848 2910 14547 20431 3848 15469 9043 13470 396 26748 1943 10274 4438 2106 13778 8718 6616 15912 803 12052 10449 15506 3848 2910 3844 24586 8194 28461 26748
34,4198 14131 929 10893 1292 29555 7230 22480 ， 396 1938 28503 17080 23520 10636 15912 14051 22410 929 24808 11342 21004 26694 10300 2106 10039 ， 4198 14131 27013 12196 979 8194 23953 8282 3262 26754
35,25483 28332 2199 1317 ， 10893 3144 11259 25483 23259 749 10760 7558 16542 15303 25117 8100 28136 ， 4274 929 14489 28648 2224 27013 18451 8282 8137 22275 4397 16614 29555
36,15098 3636 23904 21853 28874 1317 ， 3240 7800 16853 8644 8929 26313 20061 17281 26154 749 ， 13535 13700 16542 25130 10879 28503 21473 10026 104 1823 28682 24659 5609 854 24586 929 29547 5933 19052 10941 1396 1242 17281 7799 2169 625 11846 25682 14950 26669 17281
37,28109 2922 1317 ， 10620 8194 10449 19047 4529 17281 9597 19121 6316 23503 28900 22737 5697 17441 19052 19052 22737 8194 26526 29523 26437 10238 20163 18483 10446 19121 12235 11688 274 25398 29627 25483 19121 17281 2617 1053
38,2166 7442 ， 29547 2106 10039 ， 3218 7481 16456 26669 21092 17281 10026 27308 13535 ， 9925 8147 5697 16856 25483 19121 12235 7481 16456 8194 929 10935 6832 22382 27013 12196 21326 6288 ， 8641 15316 1292 929 8189 ， 2166 25682 22275 4397 28428 12331 29455 1823
39,7360 2166 1823 21720 24101 8644 4990 10639 ， 20850 10935 6832 22382 2281 26725 8414 24199 9531 10300 2106 10039 ， 22443 20448 4274 12163 8224 13343 8194 17799 ， 19897 22443 20448 4274 3844 11160 23146 16856 19121 11160 1292 929 8189 5933 19052 1943 10274
40,12772 4198 ， 13343 1394 2281 4274 12153 3519 6494 26307 8750 11160 7915 8718 10879 27380 10238 12459 3328 10300 1826 26669 ， 12153 17062 8100 24426 929 23308 25130 10879 17281 19052 15707 13535 5368 4397 4004 8100 16182 28025 25504 24965 23308 8100 6653 13995 12248 19340 17281 28461 26564 3110 18496
41,4198 4529 14501 16122 13657 22737 11120 28109 3553 19897 2106 10039 8641 15316 23091 14873 21649 23953 7702 ， 16614 6180 14501 27454 9601 17441 27013 12196 16456 30249 15465 2545 749 6285 6636 ， 25585 17861 14873 27321 16542 19462 17281 21649 30249 ， 6837 26154 23091 14873 15057 14950 26694 8
42,13343 1394 5697 15682 5489 16614 6180 23953 7702 28332 13462 19121 28503 8750 8194 ， 1317 14547 1258 10647 26417 28332 13462 19121 28503 8750 8194 2281 7154 8750 19121 3011 5697 1602 4274 28503 21473 8147 22410 7923 12614 4438 2106 13489 ， 7923 20097 30327 12659 15469
43,233 2103 16328 8251 1396 1845 8679 21534 4198 ， 28503 17080 16614 6180 14547 10539 11526 26417 233 2103 233 2103 1396 4397 26336 27700 14949 2124 21326 19052 29956 1396 15469 ， 22705 21004 26526 14547 2281 14949 2124 29038 13208 21209 9601 27700 20714 7269 1053 19551 18430 4470 24100 2281 17281 11160 3623 15469
44,979 20265 19636 10893 ， 4004 22382 14232 4685 3934 11688 104 13839 104 23084 1317 ， 27173 16337 27091 28874 16614 6180 14018 26669 29038 10636 10520 26537 4685 13363 6056 5933 28525 13489 19339 28543 5379 2187 21209 10063 13839
45,25483 19121 21481 1242 23904 10539 11526 12163 8224 13343 22447 25504 8644 13343 1394 21326 6288 ， 20850 12772 10300 1654 11295 26336 1258 979 7481 16456 26669 21092 ， 9538 27322 3828 13516 13343 1394 4397 26336 10620 8194 20909 12235
46,25483 19121 929 7661 19121 17281 25585 26313 2106 10039 6203 29649
47,233 2103 2103 17525 1396 10922 15506 29956 27653 ， 26729 1053 27173 28682 2797 27013 12196 6527 15707 25572 4397 20791 13353 5933 3099 25483 19121 20318 28637 17281 23349 26526 ， 17568 24583 5609 20983 16542 15303 25117 27151 26526 ， 29547 14131 23904 10941 3144 18496 10893 9043 10937 24053 8644 5609 20983 23084 14743
48,27893 20788 14547 10647 25131 8327 26564 85 11259 19121 8147 22410 23084 14743 5697 7251 18970 979 15912 17256 15107 15469
49,15991 104 23084 ， 8251 8679 12052 18532 ， 4004 22382 14232 19121 30100 9023 25257 23635 22131 25945 ， 23308 25130 10879 9925 16122 9023 648 18244 25130 15130 13688 6809 11962 9108 14325 26393 10505 20923 20097 5379 1065 625 9755 9283 5111 5933 19052 8137 19934 5379 2187 13621 8528
50,25585 25157 10935 4925 14150 15098 30100 9023 13846 30249 15465 23904 14232 15305 12163 9410 4106 27173 29498 28705 21243 24053 23532 25585 26313 15098 30100 1823 17281 10300 16045 ， 28705 23468 4274 4054 25585 25157 8067 9023 17281 22253 29401 22949 12170 2066 14950
51,15912 10723 10300 10658 16328 16328 8679 233 16328 4198 ， 10449 274 7661 19121 10937 5609 24965 13821 28332 16985 2124 16157 12153 14547 7424 9043 10658 16240 2705 15707 15469 10274 7154 10722 18740 8073 25277 ， 17568 24583 7661 19121 27013 12196 7230 22480 979 141
52,15991 28898 ， 15766 17525 10260 17281 9555 20244 21092 2281 3828 15506 25483 19121 10449 12235 8335 6635 2747 9023 27063 21450 29555 23259 17281 21473 13114 28503 21473 26307 8073
53,9671 15305 2106 10039 ， 28705 4767 23926 17861 3644 235 8718 12772 9601 19121 17281 13462 14950 5602 9810
54,9601 13916 19129 3682 23316 26313 28751 13778 3618 15014 2090 23468 14976 15098 3636 29525 17525 8679 16328 4198 104 23084 6809 28109 3295 10935 4967 6437 20923 2281 28751 13778 24583 1451 3618 15014 17281 20163 4938 9601 ， 9601 19121 13916 2090 23532 10722 13535 10449 10446 19129 3682 17281 13462 14950 20089 26856
55,25483 19121 8100 8147 26568 24058 2281 4198 14131 10953 19121 17170 10723 9023 23598 4054 13767 27370 21534 1845 11732 9601 4470
56,9601 19121 929 5420 8067 10879 9019 19121 17281 24058 8773 24583 1451 21481 17861 26564 ， 9601 19121 2281 10723 24073 24583 1451 10922 27166 85 13462 14950 23052 20909 ， 28705 13712 929 10893 17857 21473 26183 12772
57,12763 18430 1602 18496 22241 28099 726 17861 22103 23796 5697 28205 13470 22103 2124 18787 15927 ， 24965 9601 17441 8100 3844 23796 3844 8073 3844 3262 12520 12489 12790 8808 12790
58,4685 14684 3756 104 13839 17281 104 23084 1317 ， 10449 11497 16122 10063 4397 24586 19121 929 26366 20791 22993 4004 2545 5379 2187 17281 26564 85 1292 929 20448 26437 21481 16542
59,24061 16825 10204 14232 28332 21883 28461 26748 13178 16856 18244 23635 22131 ， 5933 10449 8209 25585 3636 7481 16456 6653 18679 25483 19121 24058 8773 5948 14018
60,4274 14489 25843 8147 22410 17281 14547 28332 28860 2545 23052 5697 19121 15469 1938 929 29555 ， 1429 14123 3385 2281 16328 18371 17525 18371 1396 12153 26307 18947 12163 28957 20781 17256 17281 22275 18754 21004 26669 14547 5609 498 23052 12772 10674 15469 18947 10449 8147 12520
61,2281 29547 13712 7702 1030 17144 3780 19047 1396 10300 ， 29547 13712 10411 6517 26564 18728 24169 28705 13712 17281 12163 16856 5574 9428 5697 19654 2124
62,20850 12206 12163 25658 4529 19604 2166 19433 26646 5420 25716 ， 18496 26336 29547 13712 21243 21243 28332 13462 19654 27454 2910 19948 ， 5233 10300 22051 28392 4054 12256 18244 19654 8019 17281 10238 3994 28010 21371 ， 8588 8842 4054 24965 27380 413 5379 1065 17281 16648 12248 9601 14477 17281 8711 25442 26669 3099
63,929 10893 ， 19121 5609 15439 25398 29627 ， 5609 5933 15439 15912 1823 2286 1396 29179 8679 24714 10238 20163 8100 23953 ， 30208 729 17738 30283 22690 24053 19339 15912 19335 3241 30241 12153 22051 4430 15912 5379 2187 ， 625 1053 13535 4430 8100 23904 13489 1030 15912 19335 3241
64,10893 4529 ， 12163 8224 13343 28874 2106 10039 22443 20448 4274 648 8224 15647 6653 23904 23832 19052 14547 979 30181 4529 21004 21209 27063 15469 17281 8194 17799
65,25483 19121 20097 13613 12459 3644 27700 705 29525 6809 27369 458 458 20923 233 4198 104 23084 1317 ， 12163 8224 13343 26366 16328 4198 28041 17281 6316 8194 10922 3470 3144 24583 2106 28136 29541 ， 18679 24007 26366 12425 8693 2797 803 5609 17170 17409
66,15766 8679 15766 4198 ， 15912 10300 28874 13535 16542 19934 15318 17281 16328 18371 10260 25483 19121 7906 15707 24586 15305 3249 14201 6353 6635 10922 4054 9601 19121 4470 17281 6635
67,12153 3519 6494 17062 8100 29842 27145 23372 17227 6809 16037 23261 26393 11220 25219 23261 458 22274 20990 11220 26393 5756 20923 26568 24058 12052 27145 10760 18529 25473 20097 13767 27370 16328 1845 19339 25504 ， 22705 9963 9043 3494 3110 18496 1451 24053 8808 12790
68,2286 1396 16328 16328 8679 ， 4004 22382 14232 26307 18947 13343 1394 4274 28503 17080 23520 10636 2281 27700 25585 13355 23832 19052 8194 17799 ， 12482 8147 23259 749 2281 16328 18371 1845 29179 1396 4685 30208 4198 23052 12772 20781 17256 13839 17170 17409 10922 25585 25085 5697 1602 21209 10063 1943 10274 5933 4938
69,2281 10893 29956 4529 ， 9963 2281 29296 6762 20244 21243 21243 7424 30208 28332 14244 3262 26669 12567 29956 25682 ， 25483 19121 20015 28776 10937 29842 4274 29296 6762 20244 28503 5420 23372 9428 10724 10816 4054 13462 14950 23349 26526
70,2281 6527 12163 9601 ， 12163 8224 13343 28874 1317 26183 8929 9925 22311 14547 8194 19269 11414 17281 25563 24007 15469 ， 20850 14547 979 28503 21092 13994 15469 17281 12163 8224 13343 27427 25682 1654 24583 6527 2106 10039 ， 8929 9925 22311 26568 12772 20448 16542 9379 9273 1629 25483 19121 23717 27321 10874
71,25483 8146 233 8679 16328 233 4198 1317 ， 3827 12489 23503 1989 20060 30016 929 28751 4235 12256 17281 21473 9023 16328 2103 21871 15927 274 5933 19052 4054 29179 14051 17281 12489 26526 ， 3218 10722 10274 749 28751 4235 12256 20097 15927
72,8251 8679 ， 2281 2124 16157 17281 26564 85 12052 ， 235 23926 21883 2337 25750 19052 18970 29555 4054 26336 9498 929 17883 8823 20782 6851 27321 15318 15316 15098 3682 9007 23926
73,10449 274 25483 19121 23132 274 854 24586 929 27369 458 458 2106 10039 ， 25483 19121 10449 26328 8100 2738 18529 25504 2281 21552 16648 8237 20782 7510 10922 8147 7440 24352 4054 10449 26537 3644 2165 ， 1317 3644 2165 13535 19604 10039 10449 23722 648 8224 28438 9815 7510 20414 26096 2281 8414 5037 17281 8237 20782 7510 391 11513 24659 15707 ， 22705 7424 7510 10674 10922 25882 20565 4054 10449 3664 11100 26615 11819 17281 27901 12660
74,104 23084 1317 ， 14501 14547 3262 2124 16157 28791 4939 9601 13516 15469 19604 10039 ， 233 2103 16328 8251 1396 23926 28682 233 2103 16328 17525 1396 23926 ， 14547 19654 13716 23598 15469 16276 22443 21853 6082 25658 6285 24586 14455 11766 12640 5046 1396 30181 749 25658 6285 2115
75,8503 4198 12567 ， 4004 14547 5420 8147 27370 233 2103 16328 17525 15469 8100 28136 2281 30096 10723 30241 14051 17062 30241 19654 20328 21473 8147 1390 19636 29401 19636 8093 17281 5933 19052 9601 ， 28136 20531 17281 10723 11688 27145 4198 14131 3780 625 11206 25597
76,27762 6380 2797 3240 7800 26725 8414 25483 19121 17281 17515 11513 28461 22197 2545 25986 ， 12153 28682 13916 14684 7230 19052 23953 8282 29547 19121 929 28648 5602 9810 17281 12960 2124
77,25483 19121 26307 18947 19121 12235 28503 21473 9043 13470 12846 8750 10063 6400 22392 27173 16337 27091 233 8251 4198 18067 25572 29296 6762 20244 396 11766 17170 23121 ， 233 17525 4198 8194 17799 26307 18947 3157 27450 14232 17170 ， 12153 2502 4397 10941 19121 26307 18947 8194 17799
78,11259 19121 3218 4767 2124 16157 16328 2103 8679 21534 2103 4198 21243 21243 2281 25212 10449 22014 3110 24162 2066 19226 15604 9601 14950 26669 19319 27145 27700 4198 15562 2568 17227 5933 19052 21251 13032 17281 10722 12489 10274 26154
79,2281 233 8251 4198 23832 19052 17281 19121 14501 27067 5216 19052 27700 705 24808 11342 8194 10922 ， 24583 17256 23904 10935 12268 19057 25257 9963 25483 14501 7481 16456 2281 25473 22382 13846 8100 28136 10449 9043 29555 13962 2106 10039 ， 14501 27454 26694 8 9043 5602 9601 19121 17281 28461 6189 5697 15647 27762 17857 7158
80,7661 19121 19395 22456 17227 18985 30139 27013 18451 4274 21105 3291 3844 24586 8194 4529 28461 26748 13607 8929 15745 19897 2106 10039 ， 25483 8147 15316 8327 17983 9614 24058 561 6312 15536 17281 12960 2124 22103 7799 19121 3011 24058 8773 13462 14950 11414 5310 ， 14568 7504 28133 3644
81,29547 23635 22131 12153 3519 6494 47 2281 23308 25130 10879 24540 19052 14547 18359 7077 28461 22197 15469 ， 22705 1317 979 23978 20565 4274 12153 3519 6494 2281 23308 25130 10879 24583 15318 14547 21473 22410 8100 9043 5091 29584 15469
82,233 8679 233 8251 4198 ， 10449 26328 235 23926 21694 23404 233 16328 19339 25504 ， 2281 6762 13882 21694 16337 4274 13778 17170 14232 9090 17062 8100 19339 25504 21552 15584 10300 24965 12248 19340
83,12153 3519 6494 929 648 8224 2281 23308 25130 10879 8513 11160 17281 25658 6285 17281 28525 12248 16542 1242 9672 13535 17062 16648 ， 20850 19897 13607 19492 30096 17170 6653 13995 22160 12248 5697 12163 12331 9023 4470 17281 29584 16648 ， 12153 3519 6494 21481 18581 26669 22410 26823 11295 13535 10777 3064 17281
84,25483 19121 11295 26336 4004 22382 14232 7424 233 2103 2103 17525 1396 9963 24053 23532 9210 19078 21209 10063 25277 7558 17281 6653 13995
85,17988 12268 1053 28874 23635 22131 9023 625 7661 19121 27013 6637 2281 19910 23452 26694 8 10922 47 24583 2106 979 30249 15465 15506 17256 15107 ， 22705 25398 29627 9023 625 23904 24583 2106 8641 15316 19910 23452 23415 5933 10039 10411 17281 17256 15107 10300 ， 25848 2166 15337 1116 9100 5609 21692 5574
86,2281 24965 22160 9508 25682 ， 29547 7923 13535 2738 17488 10636 6653 13995 9004 12248 20204 7510 1258 9043 7230 19052 16021 1053 17488 10636 6653 13995 13535 16598 22659 14547 3218 7230 3994 13971 21738 21618 15469 ， 28874 1317 25483 19121 4198 14131 11766 8644 14501 27454 16410 13962 9273 1629
87,15991 4004 22382 14232 18430 1989 10238 19912 2199 104 23084 1317 ， 25658 4529 ， 10935 6832 22382 26568 24058 12052 27145 24053 23532 12153 8711 25442 6851 8456 4939 2281 19121 3011 13657 26754 10922 26669 3662 16328 1845 5594 17281 8711 25442
88,15784 3001 30120 4876 26568 24058 4274 19551 15707 8038 2973 18417 2628 10937 29842 16037 7994 4876 26393 15241 6809 28503 20015 23743 20923 25572 4397 13462 14950
89,10449 274 15098 3636 23904 21853 11295 26336 ， 12163 8224 13343 8612 4873 4054 28751 13778 6653 13995 10786 25504
90,14501 8067 10723 8147 2124 16157 979 24199 2970 25848 16868 14547 25585 17861 7230 2545 13489 2224 11100 19733 15927 15469 10274 27331 1845 1396 16328 2103 8679 ， 10893 12520 25848 7481 10922 19226
91,8251 4198 ， 17227 26096 3249 22131 881 1317 10647 26725 13554 10059 11295 16459 24789 29731 29640 9210 19078 26754 15428 22993 17281 29640 12790 23904 24586 ， 5221 3382 17060 21114 4106 1730 8209
92,979 20163 1938 4368 26366 16853 24332 20718 17281 25945 2124 ， 14501 27454 7923 1242 29627 15107 12235 25284 11295 26336 ， 11120 28109 3553 2990 15439 29555 8766 13535 20781 13178 23468 803 233 2103 233 2103 26307 18947 17281 14547 22014 21618 18754 15469
93,16249 26797 24795 2106 10039 ， 979 16456 30020 24808 17227 13846 29625 19339 ， 25398 29627 23619 7661 28109 15912 1823 14547 7154 13516 19129 29869 28313 16957 220 4197 15469
94,5346 22542 13114 29525 104 23084 24808 11342 927 6203 6266 16328 8679 233 233 4198 10922 5239 ， 4198 14131 19121 5609 5609 28461 15439 15439 396 27134 30271 17488 10449 18602 9531 26694 5091 18455 ， 22705 4274 5091 18455 14150 881 9043 27134 30139 11955 8718 2281 14150 27013 12196 16542 4807 23832 19052 8194 1943
95,15991 14501 27454 14547 5420 14823 27700 705 15314 15469 104 23084 ， 14501 27454 22737 14523 3994 17062 10937 29842 233 2103 4198 13737 26313 26766 2066 10786 25504
96,10941 23904 13535 22792 2281 8644 12153 3519 6494 21326 25585 24058 8773 6288 24007 17281 14547 18067 2545 30241 7251 21105 5697 2545 25986 15469 7906 15707 6809 11732 26363 20788 7906 15707 20923 17281 8641 15316 11342 ， 2797 3262 26754 21552 4873 12163 8224 13343 17281 25398 29627
97,14950 26336 30016 19339 28461 26564 23468 19339 19121 5697 19339 19375 19121 30208 28332 17281 25131 26823 19121 ， 4004 22382 14232 22705 16572 20097 2281 8414 8126 8222 19121 29956 6494
98,14547 28705 24714 979 2286 11444 83 10841 ！ 15469 25483 19121 2410 3822 12553 4470 22737 30241 13114 1989 5292 4898 9410 16856 27139 23372 2281 24965 26694 4873 14547 19636 10645 20909 16575 4054 16598 22659 460 13535 8322 8194 2286 11444 83 15469 10300 ， 979 20265 1053 10059 3240 7800 ， 28874 26615 4054 4524 3099
99,5120 26417 8503 1396 2832 20097 8619 19636 648 1381 11693 11444 2410 927 9614 3994 17062 13971 5119 5697 15766 1845 9815 30131 4260 5119 ， 16542 7661 26315 19121 21378 12235 19654 8100 28874 13535 19433 2124 3470 17861 21092 15912 1396 17281 14523 19057 4054
100,4898 15991 25483 19121 8146 10674 104 23084 ， 1258 20669 9601 19121 8100 24007 104 22131 13535 29555 25483 19121 19121 8194 26564 85 5678 7269 17281
101,24426 929 1258 12590 17281 9672 15991 ， 12163 8224 13343 15562 23982 8641 15316 11342 28018 23717 25945 5609 8808 9601 4898 14131 16572 20097 24199 9531 27363 11497 12163 8224 13343 26307 18947 17281 17170 14131 28232 ， 29547 13712 28874 2281 2738 20163 10300 17281 803 5609 2990 4397 25117 9815 12567 9737 24569
102,4685 2859 22274 4039 26108 22274 26897 25219 5756 18600 6081 7994 4039 20990 26393 4039 5756 20852 4039 13839 28461 15316 23904 22382 4898 8251 8679 16328 233 4198 2281 6527 12163 24583 28109 ， 11295 26336 19551 20866 29555 8766 26336 1258 10446 2705 15707 30249 9023 625 15465 15506
103,10449 11497 625 11846 23904 21853 1317 ， 1258 26754 8100 28136 4274 2797 25945 28178 19604 4054 4004 22382 14232 17281 8100 9043 24540 24007 ， 979 19636 25945 28178 19604 4054 4004 22382 14232 4274 9601 19121 4198 26059 4990 1357 17281 5602 9810
104,29547 25398 29627 12153 3519 6494 22977 27427 25483 19121 3499 15707 28957 19121 2281 19654 27454 10723 24073 5933 19052 7469 3994 19052 15707 ， 29547 25945 12153 3519 6494 3218 25672 26823 3828 22014 5574 7469 10723 24073 23279 749 17281 15465 15506
105,15360 29731 9428 24111 5718 23084 ， 17170 26366 929 10922 19047 13721 12206 12163 8711 25442 30181 2337 15584 16648 9043 27063 14950 26669 17281 8100 9043 18970 29555 ， 10647 5368 4397 16542 9379 23588 14868 ， 14547 20850 13535 ， 26336 4054 13603 18430 15647 27762 ， 28705 13712 979 8194 9198 20270 15469
106,14489 11259 2281 29179 8679 16328 4198 23832 19052 17281 4767 9614 28957 8194 1943 10922 26154 749 ， 23052 12772 28332 1211 27067 10937 14242 30181 26366 24053 30139 2066 2090 9036 24073 11160
107,28109 2922 1317 ， 25483 19121 10411 6517 10647 2281 4004 22382 14232 5697 9601 19121 17281 13846 3099 9023 23598 30096 17170 9601 4938 6653 13995
108,1341 8067 10449 12235 4953 9148 29504 25182 6353 18496 10893 26154 749 3240 7800 4018 13470 9601 19121 15014 6637
109,3110 6285 8 29498 17227 26096 3249 25085 4873 4054 ， 12163 8224 13343 22007 19052 4529 24583 6527 5346 28109 3295 3934 28025 11342 29525 12631 29224 6266 14131 19047 10636 6809 233 8251 4198 20923 ， 14489 25483 15647 6653 23904 29038 30016 3144 8194 17799 10647 2281 1341 8067 21874 11160 23832 19052
